radius,betti0_Snapshot,betti0_Gudhi
1.2247,103,103
1.2288,103,103
1.2329,103,103
1.2369,103,103
1.2410,103,103
1.2450,103,103
1.2490,103,103
1.2530,103,103
1.2570,103,103
1.2610,103,103
1.2649,103,103
1.2689,103,103
1.2728,103,103
1.2767,103,103
1.2806,103,103
1.2845,103,103
1.2884,103,103
1.2923,103,103
1.2961,103,103
1.3000,103,103
1.3038,103,103
1.3077,103,103
1.3115,103,103
1.3153,103,103
1.3191,103,103
1.3229,103,103
1.3266,103,103
1.3304,103,103
1.3342,103,103
1.3379,103,103
1.3416,103,103
1.3454,103,103
1.3491,103,103
1.3528,103,103
1.3565,103,103
1.3601,103,103
1.3638,103,103
1.3675,103,103
1.3711,103,103
1.3748,103,103
1.3784,103,103
1.3820,103,103
1.3856,103,103
1.3892,103,103
1.3928,103,103
1.3964,103,103
1.4000,103,103
1.4036,103,103
1.4071,103,103
1.4107,103,103
1.4142,103,103
1.4177,103,103
1.4213,103,103
1.4248,103,103
1.4283,103,103
1.4318,103,103
1.4353,103,103
1.4387,103,103
1.4422,103,103
1.4457,103,103
1.4491,103,103
1.4526,103,103
1.4560,103,103
1.4595,103,103
1.4629,103,103
1.4663,103,103
1.4697,103,103
1.4731,103,103
1.4765,103,103
1.4799,103,103
1.4832,103,103
1.4866,103,103
1.4900,103,103
1.4933,103,103
1.4967,103,103
1.5000,103,103
1.5033,103,103
1.5067,103,103
1.5100,103,103
1.5133,103,103
1.5166,103,103
1.5199,103,103
1.5232,103,103
1.5264,103,103
1.5297,103,103
1.5330,103,103
1.5362,103,103
1.5395,103,103
1.5427,103,103
1.5460,103,103
1.5492,103,103
1.5524,103,103
1.5556,103,103
1.5588,103,103
1.5620,103,103
1.5652,103,103
1.5684,103,103
1.5716,103,103
1.5748,103,103
1.5780,103,103
1.5811,103,103
1.5843,103,103
1.5875,103,103
1.5906,103,103
1.5937,103,103
1.5969,103,103
1.6000,103,103
1.6031,103,103
1.6062,103,103
1.6093,103,103
1.6125,103,103
1.6155,103,103
1.6186,103,103
1.6217,103,103
1.6248,103,103
1.6279,103,103
1.6310,103,103
1.6340,103,103
1.6371,103,103
1.6401,103,103
1.6432,103,103
1.6462,103,103
1.6492,103,103
1.6523,103,103
1.6553,103,103
1.6583,103,103
1.6613,103,103
1.6643,103,103
1.6673,103,103
1.6703,103,103
1.6733,103,103
