radius,betti0_Snapshot,betti0_Ripser
1.5000,103,103
1.5100,103,103
1.5200,103,103
1.5300,103,103
1.5400,103,103
1.5500,103,103
1.5600,103,103
1.5700,103,103
1.5800,103,103
1.5900,103,103
1.6000,103,103
1.6100,103,103
1.6200,103,103
1.6300,103,103
1.6400,103,103
1.6500,103,103
1.6600,103,103
1.6700,103,103
1.6800,103,103
1.6900,103,103
1.7000,103,103
1.7100,103,103
1.7200,103,103
1.7300,103,103
1.7400,103,103
1.7500,103,103
1.7600,103,103
1.7700,103,103
1.7800,103,103
1.7900,103,103
1.8000,103,103
1.8100,103,103
1.8200,103,103
1.8300,103,103
1.8400,103,103
1.8500,103,103
1.8600,103,103
1.8700,103,103
1.8800,103,103
1.8900,103,103
1.9000,103,103
1.9100,103,103
1.9200,103,103
1.9300,103,103
1.9400,103,103
1.9500,103,103
1.9600,103,103
1.9700,103,103
1.9800,103,103
1.9900,103,103
2.0000,103,103
2.0100,103,103
2.0200,103,103
2.0300,103,103
2.0400,103,103
2.0500,103,103
2.0600,103,103
2.0700,103,103
2.0800,103,103
2.0900,103,103
2.1000,103,103
2.1100,103,103
2.1200,103,103
2.1300,103,103
2.1400,103,103
2.1500,103,103
2.1600,103,103
2.1700,103,103
2.1800,103,103
2.1900,103,103
2.2000,103,103
2.2100,103,103
2.2200,103,103
2.2300,103,103
2.2400,103,103
2.2500,103,103
2.2600,103,103
2.2700,103,103
2.2800,103,103
2.2900,103,103
2.3000,103,103
2.3100,103,103
2.3200,103,103
2.3300,103,103
2.3400,103,103
2.3500,103,103
2.3600,103,103
2.3700,103,103
2.3800,103,103
2.3900,103,103
2.4000,103,103
2.4100,103,103
2.4200,103,103
2.4300,103,103
2.4400,103,103
2.4500,103,103
2.4600,103,103
2.4700,103,103
2.4800,103,103
2.4900,103,103
2.5000,103,103
2.5100,103,103
2.5200,103,103
2.5300,103,103
2.5400,103,103
2.5500,103,103
2.5600,103,103
2.5700,103,103
2.5800,103,103
2.5900,103,103
2.6000,103,103
2.6100,103,103
2.6200,103,103
2.6300,103,103
2.6400,103,103
2.6500,103,103
2.6600,103,103
2.6700,103,103
2.6800,103,103
2.6900,103,103
2.7000,103,103
2.7100,103,103
2.7200,103,103
2.7300,103,103
2.7400,103,103
2.7500,103,103
2.7600,103,103
2.7700,103,103
2.7800,103,103
2.7900,103,103
2.8000,103,103
2.8100,103,103
2.8200,103,103
2.8300,103,103
2.8400,103,103
2.8500,103,103
2.8600,103,103
2.8700,103,103
2.8800,103,103
2.8900,103,103
2.9000,103,103
2.9100,103,103
2.9200,103,103
2.9300,103,103
2.9400,103,103
2.9500,103,103
2.9600,103,103
2.9700,103,103
2.9800,103,103
2.9900,103,103
3.0000,103,103
3.0100,103,103
3.0200,103,103
3.0300,103,103
3.0400,103,103
3.0500,103,103
3.0600,103,103
3.0700,103,103
3.0800,103,103
3.0900,103,103
3.1000,103,103
3.1100,103,103
3.1200,103,103
3.1300,103,103
3.1400,103,103
3.1500,103,103
3.1600,103,103
3.1700,103,103
3.1800,103,103
3.1900,103,103
3.2000,103,103
3.2100,103,103
3.2200,103,103
3.2300,103,103
3.2400,103,103
3.2500,103,103
3.2600,103,103
3.2700,103,103
3.2800,103,103
3.2900,103,103
3.3000,103,103
3.3100,103,103
3.3200,103,103
3.3300,103,103
3.3400,103,103
3.3500,103,103
3.3600,103,103
3.3700,103,103
3.3800,103,103
3.3900,103,103
3.4000,103,103
3.4100,103,103
3.4200,103,103
3.4300,103,103
3.4400,103,103
3.4500,103,103
3.4600,103,103
3.4700,103,103
3.4800,103,103
3.4900,103,103
3.5000,103,103
3.5100,103,103
3.5200,103,103
3.5300,103,103
3.5400,103,103
3.5500,103,103
3.5600,103,103
3.5700,103,103
3.5800,103,103
3.5900,103,103
3.6000,103,103
3.6100,103,103
3.6200,103,103
3.6300,103,103
3.6400,103,103
3.6500,103,103
3.6600,103,103
3.6700,103,103
3.6800,103,103
3.6900,103,103
3.7000,103,103
3.7100,103,103
3.7200,102,102
3.7300,101,101
3.7400,100,100
3.7500,95,95
3.7600,90,90
3.7700,84,84
3.7800,72,72
3.7900,51,51
3.8000,41,41
3.8100,29,29
3.8200,11,11
3.8300,5,5
3.8400,5,5
3.8500,3,3
3.8600,1,1
3.8700,1,1
3.8800,1,1
3.8900,1,1
3.9000,1,1
3.9100,1,1
3.9200,1,1
3.9300,1,1
3.9400,1,1
3.9500,1,1
3.9600,1,1
3.9700,1,1
3.9800,1,1
3.9900,1,1
4.0000,1,1
4.0100,1,1
4.0200,1,1
4.0300,1,1
4.0400,1,1
4.0500,1,1
4.0600,1,1
4.0700,1,1
4.0800,1,1
4.0900,1,1
4.1000,1,1
4.1100,1,1
4.1200,1,1
4.1300,1,1
4.1400,1,1
4.1500,1,1
4.1600,1,1
4.1700,1,1
4.1800,1,1
4.1900,1,1
4.2000,1,1
4.2100,1,1
4.2200,1,1
4.2300,1,1
4.2400,1,1
4.2500,1,1
4.2600,1,1
4.2700,1,1
4.2800,1,1
4.2900,1,1
4.3000,1,1
4.3100,1,1
4.3200,1,1
4.3300,1,1
4.3400,1,1
4.3500,1,1
4.3600,1,1
4.3700,1,1
4.3800,1,1
4.3900,1,1
4.4000,1,1
4.4100,1,1
4.4200,1,1
4.4300,1,1
4.4400,1,1
4.4500,1,1
4.4600,1,1
4.4700,1,1
4.4800,1,1
4.4900,1,1
4.5000,1,1
4.5100,1,1
4.5200,1,1
4.5300,1,1
4.5400,1,1
4.5500,1,1
4.5600,1,1
4.5700,1,1
4.5800,1,1
4.5900,1,1
4.6000,1,1
4.6100,1,1
4.6200,1,1
4.6300,1,1
4.6400,1,1
4.6500,1,1
4.6600,1,1
4.6700,1,1
4.6800,1,1
4.6900,1,1
4.7000,1,1
4.7100,1,1
4.7200,1,1
4.7300,1,1
4.7400,1,1
4.7500,1,1
4.7600,1,1
4.7700,1,1
4.7800,1,1
4.7900,1,1
4.8000,1,1
4.8100,1,1
4.8200,1,1
4.8300,1,1
4.8400,1,1
4.8500,1,1
4.8600,1,1
4.8700,1,1
4.8800,1,1
4.8900,1,1
4.9000,1,1
4.9100,1,1
4.9200,1,1
4.9300,1,1
4.9400,1,1
4.9500,1,1
4.9600,1,1
4.9700,1,1
4.9800,1,1
4.9900,1,1
5.0000,1,1
5.0100,1,1
5.0200,1,1
5.0300,1,1
5.0400,1,1
5.0500,1,1
5.0600,1,1
5.0700,1,1
5.0800,1,1
5.0900,1,1
5.1000,1,1
5.1100,1,1
5.1200,1,1
5.1300,1,1
5.1400,1,1
5.1500,1,1
5.1600,1,1
5.1700,1,1
5.1800,1,1
5.1900,1,1
5.2000,1,1
5.2100,1,1
5.2200,1,1
5.2300,1,1
5.2400,1,1
5.2500,1,1
5.2600,1,1
5.2700,1,1
5.2800,1,1
5.2900,1,1
5.3000,1,1
5.3100,1,1
5.3200,1,1
5.3300,1,1
5.3400,1,1
5.3500,1,1
5.3600,1,1
5.3700,1,1
5.3800,1,1
5.3900,1,1
5.4000,1,1
5.4100,1,1
5.4200,1,1
5.4300,1,1
5.4400,1,1
5.4500,1,1
5.4600,1,1
5.4700,1,1
5.4800,1,1
5.4900,1,1
5.5000,1,1
5.5100,1,1
5.5200,1,1
5.5300,1,1
5.5400,1,1
5.5500,1,1
5.5600,1,1
5.5700,1,1
5.5800,1,1
5.5900,1,1
5.6000,1,1
5.6100,1,1
5.6200,1,1
5.6300,1,1
5.6400,1,1
5.6500,1,1
5.6600,1,1
5.6700,1,1
5.6800,1,1
5.6900,1,1
5.7000,1,1
5.7100,1,1
5.7200,1,1
5.7300,1,1
5.7400,1,1
5.7500,1,1
5.7600,1,1
5.7700,1,1
5.7800,1,1
5.7900,1,1
5.8000,1,1
5.8100,1,1
5.8200,1,1
5.8300,1,1
5.8400,1,1
5.8500,1,1
5.8600,1,1
5.8700,1,1
5.8800,1,1
5.8900,1,1
5.9000,1,1
5.9100,1,1
5.9200,1,1
5.9300,1,1
5.9400,1,1
5.9500,1,1
5.9600,1,1
5.9700,1,1
5.9800,1,1
5.9900,1,1
6.0000,1,1
6.0100,1,1
6.0200,1,1
6.0300,1,1
6.0400,1,1
6.0500,1,1
6.0600,1,1
6.0700,1,1
6.0800,1,1
6.0900,1,1
6.1000,1,1
6.1100,1,1
6.1200,1,1
6.1300,1,1
6.1400,1,1
6.1500,1,1
6.1600,1,1
6.1700,1,1
6.1800,1,1
6.1900,1,1
6.2000,1,1
6.2100,1,1
6.2200,1,1
6.2300,1,1
6.2400,1,1
6.2500,1,1
6.2600,1,1
6.2700,1,1
6.2800,1,1
6.2900,1,1
6.3000,1,1
6.3100,1,1
6.3200,1,1
6.3300,1,1
6.3400,1,1
6.3500,1,1
6.3600,1,1
6.3700,1,1
6.3800,1,1
6.3900,1,1
6.4000,1,1
6.4100,1,1
6.4200,1,1
6.4300,1,1
6.4400,1,1
6.4500,1,1
6.4600,1,1
6.4700,1,1
6.4800,1,1
6.4900,1,1
6.5000,1,1
6.5100,1,1
6.5200,1,1
6.5300,1,1
6.5400,1,1
6.5500,1,1
6.5600,1,1
6.5700,1,1
6.5800,1,1
6.5900,1,1
6.6000,1,1
6.6100,1,1
6.6200,1,1
6.6300,1,1
6.6400,1,1
6.6500,1,1
6.6600,1,1
6.6700,1,1
6.6800,1,1
6.6900,1,1
6.7000,1,1
6.7100,1,1
6.7200,1,1
6.7300,1,1
6.7400,1,1
6.7500,1,1
6.7600,1,1
6.7700,1,1
6.7800,1,1
6.7900,1,1
6.8000,1,1
6.8100,1,1
6.8200,1,1
6.8300,1,1
6.8400,1,1
6.8500,1,1
6.8600,1,1
6.8700,1,1
6.8800,1,1
6.8900,1,1
6.9000,1,1
6.9100,1,1
6.9200,1,1
6.9300,1,1
6.9400,1,1
6.9500,1,1
6.9600,1,1
6.9700,1,1
6.9800,1,1
6.9900,1,1
7.0000,1,1
7.0100,1,1
7.0200,1,1
7.0300,1,1
7.0400,1,1
7.0500,1,1
7.0600,1,1
7.0700,1,1
7.0800,1,1
7.0900,1,1
7.1000,1,1
7.1100,1,1
7.1200,1,1
7.1300,1,1
7.1400,1,1
7.1500,1,1
7.1600,1,1
7.1700,1,1
7.1800,1,1
7.1900,1,1
7.2000,1,1
7.2100,1,1
7.2200,1,1
7.2300,1,1
7.2400,1,1
7.2500,1,1
7.2600,1,1
7.2700,1,1
7.2800,1,1
7.2900,1,1
7.3000,1,1
7.3100,1,1
7.3200,1,1
7.3300,1,1
7.3400,1,1
7.3500,1,1
7.3600,1,1
7.3700,1,1
7.3800,1,1
7.3900,1,1
7.4000,1,1
7.4100,1,1
7.4200,1,1
7.4300,1,1
7.4400,1,1
7.4500,1,1
7.4600,1,1
7.4700,1,1
7.4800,1,1
7.4900,1,1
7.5000,1,1
7.5100,1,1
7.5200,1,1
7.5300,1,1
7.5400,1,1
7.5500,1,1
7.5600,1,1
7.5700,1,1
7.5800,1,1
7.5900,1,1
7.6000,1,1
7.6100,1,1
7.6200,1,1
7.6300,1,1
7.6400,1,1
7.6500,1,1
7.6600,1,1
7.6700,1,1
7.6800,1,1
7.6900,1,1
7.7000,1,1
7.7100,1,1
7.7200,1,1
7.7300,1,1
7.7400,1,1
7.7500,1,1
7.7600,1,1
7.7700,1,1
7.7800,1,1
7.7900,1,1
7.8000,1,1
7.8100,1,1
7.8200,1,1
7.8300,1,1
7.8400,1,1
7.8500,1,1
7.8600,1,1
7.8700,1,1
7.8800,1,1
7.8900,1,1
7.9000,1,1
7.9100,1,1
7.9200,1,1
7.9300,1,1
7.9400,1,1
7.9500,1,1
7.9600,1,1
7.9700,1,1
7.9800,1,1
7.9900,1,1
8.0000,1,1
8.0100,1,1
8.0200,1,1
8.0300,1,1
8.0400,1,1
8.0500,1,1
8.0600,1,1
8.0700,1,1
8.0800,1,1
8.0900,1,1
8.1000,1,1
8.1100,1,1
8.1200,1,1
8.1300,1,1
8.1400,1,1
8.1500,1,1
8.1600,1,1
8.1700,1,1
8.1800,1,1
8.1900,1,1
8.2000,1,1
8.2100,1,1
8.2200,1,1
8.2300,1,1
8.2400,1,1
8.2500,1,1
8.2600,1,1
8.2700,1,1
8.2800,1,1
8.2900,1,1
8.3000,1,1
8.3100,1,1
8.3200,1,1
8.3300,1,1
8.3400,1,1
8.3500,1,1
8.3600,1,1
8.3700,1,1
8.3800,1,1
8.3900,1,1
8.4000,1,1
8.4100,1,1
8.4200,1,1
8.4300,1,1
8.4400,1,1
8.4500,1,1
8.4600,1,1
8.4700,1,1
8.4800,1,1
8.4900,1,1
8.5000,1,1
8.5100,1,1
8.5200,1,1
8.5300,1,1
8.5400,1,1
8.5500,1,1
8.5600,1,1
8.5700,1,1
8.5800,1,1
8.5900,1,1
8.6000,1,1
8.6100,1,1
8.6200,1,1
8.6300,1,1
8.6400,1,1
8.6500,1,1
8.6600,1,1
8.6700,1,1
8.6800,1,1
8.6900,1,1
8.7000,1,1
8.7100,1,1
8.7200,1,1
8.7300,1,1
8.7400,1,1
8.7500,1,1
8.7600,1,1
8.7700,1,1
8.7800,1,1
8.7900,1,1
8.8000,1,1
8.8100,1,1
8.8200,1,1
