radius,betti1_Snapshot,betti1_Ripser
5.0300,25,25
5.0400,25,25
5.0500,26,26
5.0600,26,26
5.0700,28,28
5.0800,28,28
5.0900,29,29
5.1000,30,30
5.1100,32,32
5.1200,35,35
5.1300,35,35
5.1400,35,35
5.1500,35,35
5.1600,35,35
5.1700,35,35
5.1800,35,35
5.1900,35,35
5.2000,36,36
5.2100,36,36
5.2200,36,36
5.2300,35,35
5.2400,35,35
5.2500,36,36
5.2600,37,37
5.2700,37,37
5.2800,37,37
5.2900,37,37
5.3000,38,38
5.3100,35,35
5.3200,33,33
5.3300,29,29
5.3400,29,29
5.3500,30,30
5.3600,27,27
5.3700,27,27
5.3800,27,27
5.3900,26,26
5.4000,25,25
5.4100,24,24
5.4200,24,24
5.4300,24,24
5.4400,24,24
5.4500,20,20
5.4600,20,20
5.4700,20,20
5.4800,20,20
5.4900,18,18
5.5000,16,16
5.5100,16,16
5.5200,16,16
5.5300,16,16
5.5400,16,16
5.5500,16,16
5.5600,16,16
5.5700,15,15
5.5800,16,16
5.5900,15,15
5.6000,14,14
5.6100,14,14
5.6200,14,14
5.6300,14,14
5.6400,13,13
5.6500,13,13
5.6600,12,12
5.6700,12,12
5.6800,12,12
5.6900,12,12
5.7000,12,12
5.7100,12,12
5.7200,12,12
5.7300,12,12
5.7400,12,12
5.7500,11,11
5.7600,11,11
5.7700,10,10
5.7800,9,9
5.7900,10,10
5.8000,10,10
5.8100,10,10
5.8200,10,10
5.8300,10,10
5.8400,10,10
5.8500,10,10
5.8600,10,10
5.8700,10,10
5.8800,10,10
5.8900,10,10
5.9000,9,9
5.9100,9,9
5.9200,9,9
5.9300,9,9
5.9400,9,9
5.9500,7,7
5.9600,7,7
5.9700,7,7
5.9800,7,7
5.9900,7,7
6.0000,7,7
6.0100,7,7
6.0200,8,8
6.0300,8,8
6.0400,8,8
6.0500,8,8
6.0600,8,8
6.0700,8,8
6.0800,8,8
6.0900,8,8
6.1000,8,8
6.1100,8,8
6.1200,9,9
6.1300,9,9
6.1400,10,10
6.1500,10,10
6.1600,10,10
6.1700,10,10
6.1800,9,9
6.1900,9,9
6.2000,9,9
6.2100,9,9
6.2200,9,9
6.2300,9,9
6.2400,9,9
6.2500,9,9
6.2600,9,9
6.2700,9,9
6.2800,9,9
6.2900,9,9
6.3000,9,9
6.3100,9,9
6.3200,9,9
6.3300,9,9
6.3400,9,9
6.3500,8,8
6.3600,8,8
6.3700,8,8
6.3800,8,8
6.3900,8,8
6.4000,8,8
6.4100,9,9
6.4200,9,9
6.4300,9,9
6.4400,9,9
6.4500,8,8
6.4600,8,8
6.4700,8,8
6.4800,9,9
6.4900,9,9
6.5000,9,9
6.5100,9,9
6.5200,9,9
6.5300,9,9
6.5400,9,9
6.5500,9,9
6.5600,9,9
6.5700,9,9
6.5800,9,9
6.5900,9,9
6.6000,9,9
6.6100,9,9
6.6200,9,9
6.6300,9,9
6.6400,9,9
6.6500,9,9
6.6600,9,9
6.6700,9,9
6.6800,9,9
6.6900,9,9
6.7000,9,9
6.7100,9,9
6.7200,9,9
6.7300,9,9
6.7400,9,9
6.7500,9,9
6.7600,9,9
6.7700,9,9
6.7800,9,9
6.7900,9,9
6.8000,9,9
6.8100,9,9
6.8200,9,9
6.8300,9,9
6.8400,9,9
6.8500,9,9
6.8600,9,9
6.8700,9,9
6.8800,9,9
6.8900,9,9
6.9000,9,9
6.9100,9,9
6.9200,9,9
6.9300,9,9
6.9400,9,9
6.9500,10,10
6.9600,10,10
6.9700,10,10
6.9800,10,10
6.9900,10,10
7.0000,10,10
7.0100,9,9
7.0200,9,9
7.0300,9,9
7.0400,9,9
7.0500,9,9
7.0600,9,9
7.0700,9,9
7.0800,8,8
7.0900,8,8
7.1000,8,8
7.1100,8,8
7.1200,8,8
7.1300,8,8
7.1400,8,8
7.1500,7,7
7.1600,7,7
7.1700,7,7
7.1800,7,7
7.1900,7,7
7.2000,7,7
7.2100,7,7
7.2200,7,7
7.2300,7,7
7.2400,7,7
7.2500,7,7
7.2600,8,8
7.2700,8,8
7.2800,8,8
7.2900,8,8
7.3000,8,8
7.3100,8,8
7.3200,8,8
7.3300,8,8
7.3400,8,8
7.3500,8,8
7.3600,8,8
7.3700,8,8
7.3800,8,8
7.3900,8,8
7.4000,8,8
7.4100,8,8
7.4200,8,8
7.4300,8,8
7.4400,8,8
7.4500,8,8
7.4600,8,8
7.4700,8,8
7.4800,8,8
7.4900,8,8
7.5000,8,8
7.5100,8,8
7.5200,8,8
7.5300,8,8
7.5400,8,8
7.5500,8,8
7.5600,8,8
7.5700,8,8
7.5800,8,8
7.5900,8,8
7.6000,8,8
7.6100,8,8
7.6200,8,8
7.6300,8,8
7.6400,8,8
7.6500,8,8
7.6600,8,8
7.6700,8,8
7.6800,8,8
7.6900,7,7
7.7000,7,7
7.7100,7,7
7.7200,6,6
7.7300,6,6
7.7400,6,6
7.7500,6,6
7.7600,6,6
7.7700,6,6
7.7800,6,6
7.7900,6,6
7.8000,6,6
7.8100,6,6
7.8200,6,6
7.8300,6,6
7.8400,6,6
7.8500,6,6
7.8600,6,6
7.8700,6,6
7.8800,6,6
7.8900,6,6
7.9000,6,6
7.9100,6,6
7.9200,6,6
7.9300,6,6
7.9400,6,6
7.9500,6,6
7.9600,6,6
7.9700,6,6
7.9800,6,6
7.9900,6,6
8.0000,6,6
8.0100,4,6
8.0200,4,6
8.0300,4,6
8.0400,4,6
8.0500,0,6
8.0600,0,6
8.0700,0,5
8.0800,0,5
8.0900,0,5
