radius,betti0_Snapshot,spec0_Snapshot
0.7500,103,0.0000
0.7550,103,0.0000
0.7600,103,0.0000
0.7650,103,0.0000
0.7700,103,0.0000
0.7750,103,0.0000
0.7800,103,0.0000
0.7850,103,0.0000
0.7900,103,0.0000
0.7950,103,0.0000
0.8000,103,0.0000
0.8050,103,0.0000
0.8100,103,0.0000
0.8150,103,0.0000
0.8200,103,0.0000
0.8250,103,0.0000
0.8300,103,0.0000
0.8350,103,0.0000
0.8400,103,0.0000
0.8450,103,0.0000
0.8500,103,0.0000
0.8550,103,0.0000
0.8600,103,0.0000
0.8650,103,0.0000
0.8700,103,0.0000
0.8750,103,0.0000
0.8800,103,0.0000
0.8850,103,0.0000
0.8900,103,0.0000
0.8950,103,0.0000
0.9000,103,0.0000
0.9050,103,0.0000
0.9100,103,0.0000
0.9150,103,0.0000
0.9200,103,0.0000
0.9250,103,0.0000
0.9300,103,0.0000
0.9350,103,0.0000
0.9400,103,0.0000
0.9450,103,0.0000
0.9500,103,0.0000
0.9550,103,0.0000
0.9600,103,0.0000
0.9650,103,0.0000
0.9700,103,0.0000
0.9750,103,0.0000
0.9800,103,0.0000
0.9850,103,0.0000
0.9900,103,0.0000
0.9950,103,0.0000
1.0000,103,0.0000
1.0050,103,0.0000
1.0100,103,0.0000
1.0150,103,0.0000
1.0200,103,0.0000
1.0250,103,0.0000
1.0300,103,0.0000
1.0350,103,0.0000
1.0400,103,0.0000
1.0450,103,0.0000
1.0500,103,0.0000
1.0550,103,0.0000
1.0600,103,0.0000
1.0650,103,0.0000
1.0700,103,0.0000
1.0750,103,0.0000
1.0800,103,0.0000
1.0850,103,0.0000
1.0900,103,0.0000
1.0950,103,0.0000
1.1000,103,0.0000
1.1050,103,0.0000
1.1100,103,0.0000
1.1150,103,0.0000
1.1200,103,0.0000
1.1250,103,0.0000
1.1300,103,0.0000
1.1350,103,0.0000
1.1400,103,0.0000
1.1450,103,0.0000
1.1500,103,0.0000
1.1550,103,0.0000
1.1600,103,0.0000
1.1650,103,0.0000
1.1700,103,0.0000
1.1750,103,0.0000
1.1800,103,0.0000
1.1850,103,0.0000
1.1900,103,0.0000
1.1950,103,0.0000
1.2000,103,0.0000
1.2050,103,0.0000
1.2100,103,0.0000
1.2150,103,0.0000
1.2200,103,0.0000
1.2250,103,0.0000
1.2300,103,0.0000
1.2350,103,0.0000
1.2400,103,0.0000
1.2450,103,0.0000
1.2500,103,0.0000
1.2550,103,0.0000
1.2600,103,0.0000
1.2650,103,0.0000
1.2700,103,0.0000
1.2750,103,0.0000
1.2800,103,0.0000
1.2850,103,0.0000
1.2900,103,0.0000
1.2950,103,0.0000
1.3000,103,0.0000
1.3050,103,0.0000
1.3100,103,0.0000
1.3150,103,0.0000
1.3200,103,0.0000
1.3250,103,0.0000
1.3300,103,0.0000
1.3350,103,0.0000
1.3400,103,0.0000
1.3450,103,0.0000
1.3500,103,0.0000
1.3550,103,0.0000
1.3600,103,0.0000
1.3650,103,0.0000
1.3700,103,0.0000
1.3750,103,0.0000
1.3800,103,0.0000
1.3850,103,0.0000
1.3900,103,0.0000
1.3950,103,0.0000
1.4000,103,0.0000
1.4050,103,0.0000
1.4100,103,0.0000
1.4150,103,0.0000
1.4200,103,0.0000
1.4250,103,0.0000
1.4300,103,0.0000
1.4350,103,0.0000
1.4400,103,0.0000
1.4450,103,0.0000
1.4500,103,0.0000
1.4550,103,0.0000
1.4600,103,0.0000
1.4650,103,0.0000
1.4700,103,0.0000
1.4750,103,0.0000
1.4800,103,0.0000
1.4850,103,0.0000
1.4900,103,0.0000
1.4950,103,0.0000
1.5000,103,0.0000
1.5050,103,0.0000
1.5100,103,0.0000
1.5150,103,0.0000
1.5200,103,0.0000
1.5250,103,0.0000
1.5300,103,0.0000
1.5350,103,0.0000
1.5400,103,0.0000
1.5450,103,0.0000
1.5500,103,0.0000
1.5550,103,0.0000
1.5600,103,0.0000
1.5650,103,0.0000
1.5700,103,0.0000
1.5750,103,0.0000
1.5800,103,0.0000
1.5850,103,0.0000
1.5900,103,0.0000
1.5950,103,0.0000
1.6000,103,0.0000
1.6050,103,0.0000
1.6100,103,0.0000
1.6150,103,0.0000
1.6200,103,0.0000
1.6250,103,0.0000
1.6300,103,0.0000
1.6350,103,0.0000
1.6400,103,0.0000
1.6450,103,0.0000
1.6500,103,0.0000
1.6550,103,0.0000
1.6600,103,0.0000
1.6650,103,0.0000
1.6700,103,0.0000
1.6750,103,0.0000
1.6800,103,0.0000
1.6850,103,0.0000
1.6900,103,0.0000
1.6950,103,0.0000
1.7000,103,0.0000
1.7050,103,0.0000
1.7100,103,0.0000
1.7150,103,0.0000
1.7200,103,0.0000
1.7250,103,0.0000
1.7300,103,0.0000
1.7350,103,0.0000
1.7400,103,0.0000
1.7450,103,0.0000
1.7500,103,0.0000
1.7550,103,0.0000
1.7600,103,0.0000
1.7650,103,0.0000
1.7700,103,0.0000
1.7750,103,0.0000
1.7800,103,0.0000
1.7850,103,0.0000
1.7900,103,0.0000
1.7950,103,0.0000
1.8000,103,0.0000
1.8050,103,0.0000
1.8100,103,0.0000
1.8150,103,0.0000
1.8200,103,0.0000
1.8250,103,0.0000
1.8300,103,0.0000
1.8350,103,0.0000
1.8400,103,0.0000
1.8450,103,0.0000
1.8500,103,0.0000
1.8550,103,0.0000
1.8600,102,2.0000
1.8650,101,2.0000
1.8700,100,2.0000
1.8750,95,2.0000
1.8800,90,2.0000
1.8850,84,1.0000
1.8900,72,0.5858
1.8950,51,0.1522
1.9000,41,0.0979
1.9050,29,0.0979
1.9100,11,0.0146
1.9150,5,0.0036
1.9200,5,0.0036
1.9250,3,0.0036
1.9300,1,0.0012
1.9350,1,0.0012
1.9400,1,0.0037
1.9450,1,0.0037
1.9500,1,0.0037
1.9550,1,0.0037
1.9600,1,0.0037
1.9650,1,0.0037
1.9700,1,0.0037
1.9750,1,0.0037
1.9800,1,0.0037
1.9850,1,0.0037
1.9900,1,0.0037
1.9950,1,0.0037
2.0000,1,0.0037
2.0050,1,0.0037
2.0100,1,0.0037
2.0150,1,0.0037
2.0200,1,0.0037
2.0250,1,0.0037
2.0300,1,0.0037
2.0350,1,0.0037
2.0400,1,0.0037
2.0450,1,0.0037
2.0500,1,0.0037
2.0550,1,0.0037
2.0600,1,0.0037
2.0650,1,0.0037
2.0700,1,0.0037
2.0750,1,0.0037
2.0800,1,0.0037
2.0850,1,0.0037
2.0900,1,0.0037
2.0950,1,0.0037
2.1000,1,0.0037
2.1050,1,0.0037
2.1100,1,0.0037
2.1150,1,0.0037
2.1200,1,0.0037
2.1250,1,0.0037
2.1300,1,0.0037
2.1350,1,0.0037
2.1400,1,0.0037
2.1450,1,0.0037
2.1500,1,0.0037
2.1550,1,0.0037
2.1600,1,0.0037
2.1650,1,0.0037
2.1700,1,0.0037
2.1750,1,0.0037
2.1800,1,0.0037
2.1850,1,0.0037
2.1900,1,0.0037
2.1950,1,0.0037
2.2000,1,0.0037
2.2050,1,0.0037
2.2100,1,0.0037
2.2150,1,0.0037
2.2200,1,0.0037
2.2250,1,0.0037
2.2300,1,0.0037
2.2350,1,0.0037
2.2400,1,0.0037
2.2450,1,0.0037
2.2500,1,0.0066
2.2550,1,0.0066
2.2600,1,0.0066
2.2650,1,0.0066
2.2700,1,0.0072
2.2750,1,0.0072
2.2800,1,0.0072
2.2850,1,0.0072
2.2900,1,0.0072
2.2950,1,0.0072
2.3000,1,0.0072
2.3050,1,0.0072
2.3100,1,0.0072
2.3150,1,0.0084
2.3200,1,0.0085
2.3250,1,0.0085
2.3300,1,0.0085
2.3350,1,0.0085
2.3400,1,0.0085
2.3450,1,0.0085
2.3500,1,0.0085
2.3550,1,0.0091
2.3600,1,0.0092
2.3650,1,0.0092
2.3700,1,0.0092
2.3750,1,0.0092
2.3800,1,0.0092
2.3850,1,0.0092
2.3900,1,0.0092
2.3950,1,0.0092
2.4000,1,0.0092
2.4050,1,0.0093
2.4100,1,0.0093
2.4150,1,0.0093
2.4200,1,0.0093
2.4250,1,0.0093
2.4300,1,0.0093
2.4350,1,0.0093
2.4400,1,0.0094
2.4450,1,0.0095
2.4500,1,0.0095
2.4550,1,0.0095
2.4600,1,0.0095
2.4650,1,0.0095
2.4700,1,0.0095
2.4750,1,0.0095
2.4800,1,0.0095
2.4850,1,0.0095
2.4900,1,0.0096
2.4950,1,0.0097
2.5000,1,0.0108
2.5050,1,0.0111
2.5100,1,0.0115
2.5150,1,0.0115
2.5200,1,0.0115
2.5250,1,0.0115
2.5300,1,0.0115
2.5350,1,0.0117
2.5400,1,0.0117
2.5450,1,0.0117
2.5500,1,0.0117
2.5550,1,0.0124
2.5600,1,0.0126
2.5650,1,0.0127
2.5700,1,0.0127
2.5750,1,0.0130
2.5800,1,0.0130
2.5850,1,0.0130
2.5900,1,0.0130
2.5950,1,0.0130
2.6000,1,0.0130
2.6050,1,0.0130
2.6100,1,0.0130
2.6150,1,0.0130
2.6200,1,0.0130
2.6250,1,0.0130
2.6300,1,0.0132
2.6350,1,0.0133
2.6400,1,0.0133
2.6450,1,0.0134
2.6500,1,0.0134
2.6550,1,0.0142
2.6600,1,0.0148
2.6650,1,0.0148
2.6700,1,0.0148
2.6750,1,0.0148
2.6800,1,0.0148
2.6850,1,0.0148
2.6900,1,0.0175
2.6950,1,0.0175
2.7000,1,0.0175
2.7050,1,0.0175
2.7100,1,0.0176
2.7150,1,0.0176
2.7200,1,0.0180
2.7250,1,0.0184
2.7300,1,0.0229
2.7350,1,0.0229
2.7400,1,0.0238
2.7450,1,0.0248
2.7500,1,0.0250
2.7550,1,0.0250
2.7600,1,0.0252
2.7650,1,0.0252
2.7700,1,0.0263
2.7750,1,0.0267
2.7800,1,0.0268
2.7850,1,0.0280
2.7900,1,0.0345
2.7950,1,0.0348
2.8000,1,0.0352
2.8050,1,0.0355
2.8100,1,0.0355
2.8150,1,0.0355
2.8200,1,0.0355
2.8250,1,0.0358
2.8300,1,0.0371
2.8350,1,0.0373
2.8400,1,0.0376
2.8450,1,0.0376
2.8500,1,0.0376
2.8550,1,0.0377
2.8600,1,0.0377
2.8650,1,0.0377
2.8700,1,0.0379
2.8750,1,0.0389
2.8800,1,0.0391
2.8850,1,0.0444
2.8900,1,0.0446
2.8950,1,0.0447
2.9000,1,0.0447
2.9050,1,0.0460
2.9100,1,0.0462
2.9150,1,0.0510
2.9200,1,0.0514
2.9250,1,0.0516
2.9300,1,0.0516
2.9350,1,0.0517
2.9400,1,0.0517
2.9450,1,0.0526
2.9500,1,0.0527
2.9550,1,0.0529
2.9600,1,0.0539
2.9650,1,0.0542
2.9700,1,0.0542
2.9750,1,0.0558
2.9800,1,0.0563
2.9850,1,0.0563
2.9900,1,0.0563
2.9950,1,0.0570
3.0000,1,0.0570
3.0050,1,0.0571
3.0100,1,0.0575
3.0150,1,0.0575
3.0200,1,0.0582
3.0250,1,0.0582
3.0300,1,0.0588
3.0350,1,0.0588
3.0400,1,0.0588
3.0450,1,0.0588
3.0500,1,0.0588
3.0550,1,0.0588
3.0600,1,0.0896
3.0650,1,0.0896
3.0700,1,0.1025
3.0750,1,0.1025
3.0800,1,0.1041
3.0850,1,0.1044
