radius,betti0_Snapshot,spec0_Snapshot
0.0000,20,0.0000
0.1000,20,0.0000
0.1414,20,0.0000
0.1732,20,0.0000
0.2000,20,0.0000
0.2236,20,0.0000
0.2449,20,0.0000
0.2646,20,0.0000
0.2828,20,0.0000
0.3000,20,0.0000
0.3162,20,0.0000
0.3317,20,0.0000
0.3464,20,0.0000
0.3606,20,0.0000
0.3742,20,0.0000
0.3873,20,0.0000
0.4000,20,0.0000
0.4123,20,0.0000
0.4243,20,0.0000
0.4359,20,0.0000
0.4472,20,0.0000
0.4583,20,0.0000
0.4690,20,0.0000
0.4796,20,0.0000
0.4899,20,0.0000
0.5000,20,0.0000
0.5099,20,0.0000
0.5196,20,0.0000
0.5292,20,0.0000
0.5385,20,0.0000
0.5477,20,0.0000
0.5568,20,0.0000
0.5657,20,0.0000
0.5745,20,0.0000
0.5831,20,0.0000
0.5916,20,0.0000
0.6000,20,0.0000
0.6083,20,0.0000
0.6164,20,0.0000
0.6245,20,0.0000
0.6325,20,0.0000
0.6403,20,0.0000
0.6481,20,0.0000
0.6557,20,0.0000
0.6633,20,0.0000
0.6708,20,0.0000
0.6782,1,0.7639
0.6856,1,0.7639
0.6928,1,0.7639
0.7000,1,0.7639
0.7071,1,0.7639
0.7141,1,0.7639
0.7211,1,0.7639
0.7280,1,0.7639
0.7348,1,0.7639
0.7416,1,0.7639
0.7483,1,0.7639
0.7550,1,0.7639
0.7616,1,0.7639
0.7681,1,0.7639
0.7746,1,0.7639
0.7810,1,0.7639
0.7874,1,0.7639
0.7937,1,0.7639
0.8000,1,0.7639
0.8062,1,0.7639
0.8124,1,0.7639
0.8185,1,0.7639
0.8246,1,0.7639
0.8307,1,0.7639
0.8367,1,0.7639
0.8426,1,0.7639
0.8485,1,0.7639
0.8544,1,0.7639
0.8602,1,0.7639
0.8660,1,0.7639
0.8718,1,0.7639
0.8775,1,0.7639
0.8832,1,0.7639
0.8888,1,0.7639
0.8944,1,0.7639
0.9000,1,0.7639
0.9055,1,0.7639
0.9110,1,0.7639
0.9165,1,0.7639
0.9220,1,0.7639
0.9274,1,0.7639
0.9327,1,0.7639
0.9381,1,0.7639
0.9434,1,0.7639
0.9487,1,0.7639
0.9539,1,0.7639
0.9592,1,0.7639
0.9644,1,0.7639
0.9695,1,0.7639
0.9747,1,0.7639
0.9798,1,0.7639
0.9849,1,0.7639
