persistence intervals in dim 0:
(0.0,inf)
(0.0,0.5161340924999999)
(0.0,0.5143418424999999)
(0.0,0.5141840225000002)
(0.0,0.5137972474999999)
(0.0,0.5137230125)
(0.0,0.5136576325000001)
(0.0,0.5129337125)
(0.0,0.5127529874999999)
(0.0,0.5124650074999999)
(0.0,0.5122501024999999)
(0.0,0.5120379825000001)
(0.0,0.511779925)
(0.0,0.4801369549999999)
(0.0,0.4794130125)
(0.0,0.4793910325)
(0.0,0.47911286000000003)
(0.0,0.47884323500000003)
(0.0,0.4787927075000001)
(0.0,0.4784743025)
(0.0,0.47842465250000005)
(0.0,0.47827236500000014)
(0.0,0.4780533925)
(0.0,0.47766784249999994)
(0.0,0.47766766499999996)
(0.0,0.477635715)
(0.0,0.47746795250000007)
(0.0,0.4774527725000002)
(0.0,0.4774129950000001)
(0.0,0.47740860500000004)
(0.0,0.47730022250000004)
(0.0,0.47694443)
(0.0,0.47691966500000005)
(0.0,0.47670294500000004)
(0.0,0.4766984674999999)
(0.0,0.4762874925)
(0.0,0.4762763725)
(0.0,0.4760670225000001)
(0.0,0.47600906499999984)
(0.0,0.4760028949999998)
(0.0,0.4759382524999999)
(0.0,0.47568678000000003)
(0.0,0.47560974749999996)
(0.0,0.4755776075000001)
(0.0,0.475405395)
(0.0,0.4753081149999999)
(0.0,0.4752262099999999)
(0.0,0.47502461250000005)
(0.0,0.46508188999999994)
(0.0,0.4648697125)
(0.0,0.4645620625000001)
(0.0,0.4641384075)
(0.0,0.46390868749999997)
(0.0,0.46380264750000005)
(0.0,0.461425215)
(0.0,0.4608213825000001)
(0.0,0.46048989500000015)
(0.0,0.45993703500000005)
(0.0,0.45943197499999977)
(0.0,0.45926968999999995)
(0.0,0.4564812075)
(0.0,0.4564393450000001)
(0.0,0.45629320000000007)
(0.0,0.45607139499999994)
(0.0,0.4554987925)
(0.0,0.45505585250000014)
(0.0,0.4550546325)
(0.0,0.45455541499999996)
(0.0,0.454122765)
(0.0,0.45362356500000006)
(0.0,0.45359449500000004)
(0.0,0.452181085)
persistence intervals in dim 1:
(0.4781201224999999,2.0596371955939716)
(0.48046285499999997,1.8577402878352318)
(0.47965677500000015,1.8539371723756963)
(0.5154749725,1.884442279100167)
(0.5182897325,1.8851979946679036)
(0.47899273499999995,1.8456929345120243)
(0.47936312999999986,1.8455477473722217)
(0.47956451499999997,1.8424936706770354)
(0.5166665825000001,1.8786869131923412)
(0.4822412425000001,1.843800297464345)
(0.4808726225,1.8419063506252227)
(0.48214244500000014,1.8426068012176282)
(0.4833502449999999,1.8432955193071003)
(0.5167201149999999,1.8742429416456492)
(0.480152655,1.8372784587199833)
(0.51741731,1.8710765523664215)
(0.518565945,1.8721659100199375)
(0.517198175,1.8682770476024015)
(0.5157974675,1.8666718204669737)
(0.517143965,1.8679286155231138)
(0.48099954750000007,1.8306665468949088)
(0.517871295,1.8661654077857635)
(0.5177442124999999,1.8650517775518158)
(0.5155228075,1.8616573777595602)
(0.47932564499999997,1.823933353929726)
(0.48013077999999987,1.3593017460084658)
(0.48064439249999996,1.3554297078991218)
(0.47987819000000004,1.3533979624496058)
(0.4828569624999999,1.3537546682814323)
(0.4836470225,1.354351143685264)
(0.48340189499999997,1.352359637831249)
(0.4834303025000001,1.351797655986636)
(0.48339448499999993,1.3512856999059584)
(0.4821661724999998,1.3460617098746814)
(0.4836920225,1.3471768224812906)
(0.48138759500000006,1.3431834156509705)
(0.48245622499999996,1.3421906185914336)
(1.8476585325,1.8480810965701888)
(1.85362186,1.8538087130273788)
(1.8530933900000002,1.8532768331795522)
(1.8551141699999998,1.8552715417018613)
(1.8584518200000002,1.858571964545066)
(1.8533556475000004,1.8534745924951004)
(1.86169914,1.86177972358883)
(1.8513703225000002,1.8514377530598263)
(1.8585655125,1.858630667583886)
(1.8304265100000001,1.830470100335749)
(1.8423306724999997,1.8423710885622073)
(1.8433830825000004,1.843419949066415)
(1.8673185274999997,1.867349894974051)
(1.8733459149999998,1.8733625489621886)
(2.0596143025,2.059628213936307)
(1.8454885450000003,1.8454949043200333)
(1.82374904,1.823755368025113)
(1.8456705249999998,1.845676568818516)
(1.8416719625,1.8416775399507148)
(1.842471265,1.8424750251688464)
(1.8748428525,1.874843792570817)
persistence intervals in dim 2:
(2.0598987273622273,10.898172749195666)
