persistence intervals in dim 0:
(0.0,inf)
(0.0,3.7303819999999925)
(0.0,3.7215162500000063)
(0.0,3.716717250000002)
(0.0,3.7143254999999984)
(0.0,3.7139014999999995)
(0.0,3.7123425000000068)
(0.0,3.711772249999998)
(0.0,3.7112052500000003)
(0.0,3.7049312499999996)
(0.0,3.704064750000007)
(0.0,3.694821250000002)
(0.0,3.6928290000000024)
(0.0,3.691341249999998)
(0.0,3.6792935000000013)
(0.0,3.679122500000001)
(0.0,3.677768249999998)
(0.0,3.677290250000005)
(0.0,3.675956749999992)
(0.0,3.674520500000007)
(0.0,3.6739827499999986)
(0.0,3.6702874999999993)
(0.0,3.669740250000004)
(0.0,3.669261500000001)
(0.0,3.668470000000005)
(0.0,3.6664695000000083)
(0.0,3.6663274999999977)
(0.0,3.6639582499999976)
(0.0,3.6629945000000026)
(0.0,3.6616275)
(0.0,3.661316250000003)
(0.0,3.660384749999997)
(0.0,3.65758425)
(0.0,3.657518749999995)
(0.0,3.6574969999999993)
(0.0,3.6574884999999973)
(0.0,3.656417499999997)
(0.0,3.6538344999999985)
(0.0,3.6526384999999983)
(0.0,3.651992250000002)
(0.0,3.651732250000004)
(0.0,3.6501635000000014)
(0.0,3.6488312500000033)
(0.0,3.6484372500000006)
(0.0,3.647523500000003)
(0.0,3.647508500000003)
(0.0,3.646261999999998)
(0.0,3.6445107499999985)
(0.0,3.64435325)
(0.0,3.6441252499999948)
(0.0,3.642908250000005)
(0.0,3.640599499999995)
(0.0,3.6405084999999975)
(0.0,3.638973500000006)
(0.0,3.6382327500000002)
(0.0,3.63607325)
(0.0,3.635466499999999)
(0.0,3.6353950000000035)
(0.0,3.634231500000004)
(0.0,3.634129250000001)
(0.0,3.6339312500000034)
(0.0,3.6335752499999936)
(0.0,3.6332224999999956)
(0.0,3.6326945)
(0.0,3.632685250000006)
(0.0,3.6305487499999924)
(0.0,3.6281522499999883)
(0.0,3.627589500000002)
(0.0,3.627093499999999)
(0.0,3.6269187499999997)
(0.0,3.626877249999994)
(0.0,3.6266754999999966)
(0.0,3.6262535000000016)
(0.0,3.6256052500000013)
(0.0,3.625462249999999)
(0.0,3.623118749999997)
(0.0,3.6219865000000038)
(0.0,3.6219747500000015)
(0.0,3.621388500000003)
(0.0,3.6213390000000034)
(0.0,3.6197922499999957)
(0.0,3.6197659999999994)
(0.0,3.6194830000000033)
(0.0,3.619459000000003)
(0.0,3.618596249999999)
(0.0,3.618416749999999)
(0.0,3.618125)
(0.0,3.6180022500000035)
(0.0,3.61754725)
