radius,betti0_Snapshot,spec0_Snapshot
1.5199,1,0.2434
1.5232,1,0.2434
1.5264,1,0.2434
1.5297,1,0.2434
1.5330,1,0.4201
1.5362,1,0.4201
1.5395,1,0.4201
1.5427,1,0.4201
1.5460,1,0.4201
1.5492,1,0.4201
1.5524,1,0.4201
1.5556,1,0.4201
1.5588,1,0.4201
1.5620,1,1.6446
1.5652,1,1.6446
1.5684,1,1.6446
1.5716,1,1.6446
1.5748,1,1.6446
1.5780,1,1.6446
1.5811,1,1.6446
1.5843,1,1.6446
1.5875,1,1.6446
1.5906,1,1.6446
1.5937,1,1.6446
1.5969,1,1.6446
1.6000,1,1.6446
1.6031,1,1.6446
1.6062,1,1.6446
1.6093,1,1.6446
1.6125,1,1.6446
1.6155,1,1.6446
1.6186,1,1.6446
1.6217,1,1.6446
1.6248,1,1.6446
1.6279,1,1.6446
1.6310,1,1.6446
1.6340,1,1.6446
1.6371,1,1.6446
1.6401,1,1.6446
1.6432,1,1.6446
1.6462,1,1.6446
1.6492,1,1.6446
1.6523,1,1.6446
1.6553,1,1.6446
1.6583,1,1.6446
1.6613,1,1.6446
1.6643,1,1.6446
1.6673,1,1.6446
1.6703,1,1.6446
1.6733,1,1.6446
1.6763,1,1.6446
1.6793,1,2.2748
1.6823,1,2.2748
1.6852,1,2.2748
1.6882,1,2.2748
1.6912,1,2.2748
1.6941,1,2.2748
1.6971,1,2.2748
1.7000,1,2.2748
1.7029,1,2.2748
1.7059,1,2.2748
1.7088,1,2.2748
1.7117,1,2.2748
1.7146,1,2.2748
1.7176,1,2.2748
1.7205,1,2.2748
1.7234,1,2.2748
1.7263,1,2.2748
1.7292,1,2.2748
1.7321,1,2.2748
1.7349,1,2.2748
1.7378,1,2.2748
1.7407,1,2.2748
1.7436,1,2.2748
1.7464,1,2.2748
1.7493,1,2.2748
1.7521,1,2.2748
1.7550,1,2.2748
1.7578,1,2.2748
1.7607,1,2.2748
1.7635,1,2.2748
1.7664,1,2.2748
1.7692,1,2.2748
1.7720,1,2.2748
1.7748,1,2.2748
1.7776,1,2.2748
1.7804,1,2.2748
1.7833,1,2.2748
1.7861,1,2.2748
1.7889,1,2.2748
1.7916,1,2.2748
1.7944,1,2.2748
1.7972,1,2.2748
1.8000,1,2.2748
1.8028,1,2.2748
1.8055,1,2.2748
1.8083,1,2.2748
1.8111,1,2.2748
1.8138,1,2.2748
1.8166,1,2.2748
1.8193,1,2.2748
1.8221,1,2.2748
1.8248,1,2.2748
1.8276,1,2.2748
1.8303,1,2.2748
1.8330,1,2.2748
1.8358,1,2.2748
1.8385,1,2.2748
1.8412,1,2.2748
1.8439,1,2.2748
1.8466,1,2.2748
1.8493,1,2.2748
1.8520,1,2.2748
1.8547,1,2.2748
1.8574,1,2.2748
1.8601,1,2.2748
1.8628,1,2.2748
1.8655,1,2.2748
1.8682,1,2.2748
1.8708,1,2.2748
1.8735,1,2.2748
1.8762,1,2.2748
1.8788,1,2.2748
1.8815,1,2.2748
1.8841,1,4.2918
1.8868,1,4.2918
1.8894,1,4.2918
1.8921,1,4.2918
1.8947,1,4.2918
1.8974,1,4.2918
1.9000,1,4.2918
1.9026,1,4.2918
1.9053,1,4.2918
1.9079,1,4.2918
1.9105,1,4.2918
1.9131,1,4.2918
1.9157,1,5.4056
1.9183,1,5.4056
1.9209,1,5.4056
1.9235,1,5.4056
1.9261,1,5.4056
1.9287,1,5.4056
1.9313,1,5.4056
1.9339,1,5.4056
1.9365,1,5.4056
1.9391,1,5.4056
1.9416,1,5.4056
1.9442,1,5.4056
1.9468,1,5.4056
1.9494,1,5.4056
1.9519,1,5.4056
1.9545,1,5.4056
1.9570,1,5.4056
1.9596,1,5.4056
1.9621,1,5.4056
1.9647,1,5.4056
1.9672,1,5.4056
1.9698,1,5.4056
1.9723,1,5.4056
1.9748,1,5.4056
1.9774,1,5.4056
1.9799,1,5.4056
1.9824,1,5.4056
1.9849,1,5.4056
1.9875,1,5.4056
1.9900,1,5.4056
1.9925,1,5.4056
1.9950,1,5.4056
1.9975,1,5.4056
2.0000,1,5.4056
